ip,alert_count,directions,unique_signatures,unique_categories,critical_severity,top_signature,top_category,top_local_peers,first_seen,last_seen,vt_lookup_status,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_reputation,vt_country,vt_as_owner,vt_network,vt_tags,vt_error,risk_score,risk_level
212.51.134.123,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 338,Misc Attack,10.47.43.10,2018-03-24 17:00:49.573545-06:00,2018-03-24 17:00:49.573545-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
212.74.233.18,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 339,Misc Attack,10.47.46.10,2018-03-24 18:02:27.254197-06:00,2018-03-24 18:02:27.254197-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
217.79.179.177,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 354,Misc Attack,10.47.24.25,2018-03-24 18:40:08.756177-06:00,2018-03-24 18:40:08.756177-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
37.221.162.226,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 433,Misc Attack,10.47.21.82,2018-03-24 18:32:23.100863-06:00,2018-03-24 18:32:23.100863-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
51.15.76.56,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 480,Misc Attack,10.47.44.10,2018-03-24 18:00:55.459308-06:00,2018-03-24 18:00:55.459308-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
51.255.198.77,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 485,Misc Attack,10.47.24.80,2018-03-24 16:14:33.312180-06:00,2018-03-24 16:14:33.312180-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
5.199.142.236,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 493,Misc Attack,10.47.44.68,2018-03-24 16:17:55.191348-06:00,2018-03-24 16:17:55.191348-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
5.39.33.178,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 497,Misc Attack,10.47.43.10,2018-03-24 17:00:49.543350-06:00,2018-03-24 17:00:49.543350-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
54.37.73.111,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 501,Misc Attack,10.47.21.81,2018-03-24 18:36:43.628694-06:00,2018-03-24 18:36:43.628694-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
5.79.68.161,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 504,Misc Attack,10.47.23.81,2018-03-24 18:33:13.343212-06:00,2018-03-24 18:33:13.343212-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
62.138.7.171,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 509,Misc Attack,10.47.43.10,2018-03-24 17:10:30.974445-06:00,2018-03-24 17:10:30.974445-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
78.46.249.71,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 553,Misc Attack,10.47.8.151,2018-03-23 21:22:59.246385-06:00,2018-03-23 21:22:59.246385-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
81.7.11.33,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 580,Misc Attack,10.47.44.68,2018-03-24 15:36:45.413308-06:00,2018-03-24 15:36:45.413308-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
83.212.99.68,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 594,Misc Attack,10.47.44.68,2018-03-24 16:17:51.937279-06:00,2018-03-24 16:17:51.937279-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
85.255.1.158,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 611,Misc Attack,10.47.43.10,2018-03-24 17:10:31.015135-06:00,2018-03-24 17:10:31.015135-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
86.59.21.38,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 616,Misc Attack,10.47.43.10,2018-03-24 15:57:44.754644-06:00,2018-03-24 15:57:44.754644-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
88.99.217.110,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 630,Misc Attack,10.47.43.10,2018-03-24 15:57:48.703262-06:00,2018-03-24 15:57:48.703262-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
88.99.70.107,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 631,Misc Attack,10.47.44.10,2018-03-24 16:04:39.829431-06:00,2018-03-24 16:04:39.829431-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
89.163.225.145,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 633,Misc Attack,10.47.43.10,2018-03-24 17:00:49.563613-06:00,2018-03-24 17:00:49.563613-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
89.221.214.243,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 634,Misc Attack,10.47.21.82,2018-03-24 18:32:23.838190-06:00,2018-03-24 18:32:23.838190-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
89.46.100.71,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 639,Misc Attack,10.47.24.80,2018-03-24 16:00:28.228131-06:00,2018-03-24 16:00:28.228131-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
93.186.200.68,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 666,Misc Attack,10.47.44.10,2018-03-24 16:09:18.276029-06:00,2018-03-24 16:09:18.276029-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
208.80.154.15,1,outbound,1,1,3,ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management,Not Suspicious Traffic,10.47.2.100,2018-03-23 13:59:50.695990-06:00,2018-03-23 13:59:50.695990-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,15.0,low
52.85.83.147,1,outbound,1,1,3,SURICATA HTTP Request abnormal Content-Encoding header,Generic Protocol Command Decode,10.47.8.154,2018-03-23 12:28:02.409799-06:00,2018-03-23 12:28:02.409799-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,15.0,low
65.55.50.190,1,outbound,1,1,3,SURICATA TLS certificate invalid length,Generic Protocol Command Decode,10.47.1.208,2018-03-23 17:50:25.456505-06:00,2018-03-23 17:50:25.456505-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,15.0,low
